"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000030093.7",370.482692346069,6.52313229563309,0.319090351979355,20.4429004360969,6.94845144691722e-93,1.42794186553061e-90
"ENSMUSG00000039457.3",328.679699215454,3.87842857335637,0.190878456760782,20.3188386954375,8.76247242187306e-92,1.78272501423007e-89
"ENSMUSG00000024812.9",1856.25216627565,2.05568949780426,0.10130273227403,20.29253754226,1.49667364892861e-91,3.01483419677748e-89
"ENSMUSG00000102752.1",295.200957259392,4.0998434991818,0.202126756772759,20.2835268553339,1.79767864421884e-91,3.58566392319925e-89
"ENSMUSG00000028128.13",1810.85666900135,-2.0903349896565,0.103258956785587,-20.2436190983121,4.04357779680769e-91,7.98704759961675e-89
"ENSMUSG00000053030.11",726.395334848508,8.18223747195065,0.404224728465962,20.2418033726,4.19533993416376e-91,8.20713374620786e-89
"ENSMUSG00000029154.13",747.358381320025,8.32220008091904,0.411847782788843,20.206980415349,8.4991062944303e-91,1.64680302438271e-88
"ENSMUSG00000019996.17",308.635094433005,4.80674454935589,0.238061196916841,20.191213904696,1.16955341433054e-90,2.24477020892026e-88
"ENSMUSG00000022102.13",308.720354084561,5.62204765192821,0.278512266176687,20.1859965778369,1.29979909162134e-90,2.47144042233983e-88
"ENSMUSG00000022346.15",4873.02595520372,2.52806505975716,0.125391690581456,20.1613444083433,2.13988163451025e-90,4.03110109760287e-88
"ENSMUSG00000029449.11",352.520742052213,3.81495082882179,0.190464788652499,20.0296908200819,3.0353653226559e-89,5.66555114581966e-87
"ENSMUSG00000042216.13",366.894699638987,3.35409194135036,0.167488904626085,20.0257560274712,3.28488690937304e-89,6.07554765192677e-87
"ENSMUSG00000028434.12",988.556889644046,2.52516812675184,0.126166768227267,20.0145265051349,4.11528049206914e-89,7.54282717217538e-87
"ENSMUSG00000085925.2",339.404554966269,3.26210106603571,0.164757632315793,19.7993927212016,3.01304006468633e-87,5.47324108178958e-85
"ENSMUSG00000031075.18",2038.61157326479,1.83864502393826,0.0933068469574226,19.7053601519432,1.93957262387008e-86,3.49208894094131e-84
"ENSMUSG00000024965.8",345.923730734147,5.71404498776376,0.29211864891421,19.5606990823851,3.34460352694298e-85,5.96894375049604e-83
"ENSMUSG00000092586.8",2395.33085140298,11.0073782943812,0.563658028590538,19.5284689227364,6.28970240839117e-85,1.11273039564103e-82
